시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
1970,352484,1866928,953653,913275,1866928,953653,913275,0,0,0
1971,343835,1851866,944748,907118,1851866,944748,907118,0,0,0
1972,341985,1863419,950793,912626,1863419,950793,912626,0,0,0
1973,339751,1852456,946034,906422,1852456,946034,906422,0,0,0
1974,338744,1865738,953938,911800,1865738,953938,911800,0,0,0
1975,362165,1862107,955258,906849,1862107,955258,906849,0,0,0
1976,355710,1842363,941292,901071,1842363,941292,901071,0,0,0
1977,355909,1847177,942097,905080,1847177,942097,905080,0,0,0
1978,362478,1852755,942117,910638,1852755,942117,910638,0,0,0
1979,369774,1844559,939862,904697,1844559,939862,904697,0,0,0
