시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
1980,375265,1790954,915397,875557,1790226,914983,875243,728,414,314
1981,376332,1804853,921268,883585,1804853,921268,883585,0,0,0
1982,381965,1809871,925008,884863,1809871,925008,884863,0,0,0
1983,391296,1824324,931933,892391,1823717,931611,892106,607,322,285
1984,393853,1816365,927598,888767,1815719,927253,888466,646,345,301
1985,404694,1724809,880464,844345,1724146,880090,844056,663,374,289
1986,406934,1750707,893424,857283,1750119,893107,857012,588,317,271
1987,407745,1751252,891588,859664,1750698,891280,859418,554,308,246
1988,412209,1730905,879530,851375,1730307,879205,851102,598,325,273
1989,413688,1702025,864011,838014,1701502,863724,837778,523,287,236
