시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
1990,413793,1580430,802179,778251,1579859,801845,778014,571,334,237
1991,421478,1563902,786137,777765,1584101,800995,783106,491,275,216
1992,432116,1555082,781263,773819,1554106,780751,773355,976,512,464
1993,440282,1540971,774150,766821,1539801,773555,766246,1170,595,575
1994,447404,1530717,768704,762013,1529304,768009,761295,1413,695,718
1995,459469,1530000,768706,761294,1528488,767927,760561,1512,779,733
1996,472206,1531337,769059,762278,1528671,767634,761037,2666,1425,1241
1997,487412,1540307,773953,766354,1537106,772280,764826,3201,1673,1528
1998,500668,1555483,782601,772882,1552667,781179,771488,2816,1422,1394
1999,511060,1560043,784484,775559,1556979,782936,774043,3064,1548,1516
