시점,세대수,인구수,남자인구,여자인구,한국인인구,한국인남자,한국인여자,외국인인구,외국인남자,외국인여자
2000,521728,1559042,783469,775573,1554688,781133,773555,4354,2336,2018
2001,531123,1556904,780995,775909,1552407,778766,773641,4497,2229,2268
2002,538613,1543665,774281,769384,1538720,771945,766775,4945,2336,2609
2003,552319,1533331,770529,762802,1527034,767294,759740,6297,3235,3062
2004,563355,1528640,768714,759926,1521375,764803,756572,7265,3911,3354
2005,574019,1521099,764840,756259,1513110,760642,752468,7989,4198,3791
2006,583890,1515672,762233,753439,1505420,756894,748526,10252,5339,4913
2007,594360,1515800,762219,753581,1503806,756184,747622,11994,6035,5959
2008,606950,1521467,765413,756054,1508575,759282,749293,12892,6131,6761
2009,617693,1525542,767155,758387,1512870,761270,751600,12672,5885,6787
