책이름,저자,출판사,출간일,가격
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월,"16,920"
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,"23,400"
혼자 공부하는 파이썬,윤인성,한빛미디어,2019년 06월,"16,200"
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,나동빈,한빛미디어,2020년 08월,"30,600"
비전공자도 이해할 수 있는 AI 지식,박상길,반니,2022년 03월,"17,820"
밑바닥부터 시작하는 딥러닝 ,사이토 고키,한빛미디어,2017년 01월,"21,600"
모두의 데이터 분석 with 파이썬,송석리,길벗,2019년 04월,"16,200"
핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,2020년 05월,"49,500"
만들면서 배우는 파이썬과 40개의 작품들,장문철,앤써북,2022년 02월,"16,920"
파이썬 알고리즘 인터뷰,박상길,책만,2020년 07월,"34,200"
두근두근 파이썬,천인국,생능출판사,2017년 01월,"22,800"
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,2020년 07월,"18,000"
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱,2020년 07월,"19,800"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,2022년 05월,"21,600"
Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020년 04월,"12,600"
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2020년 02월,"34,200"
파이썬 증권 데이터 분석 ,김황후,한빛미디어,2020년 07월,"28,800"
모두가 할 수 있는 앱 인벤터로 11개 인공지능 앱 만들기,박지숙,앤써북,2021년 06월,"13,050"
모두의 파이썬,이승찬,길벗,2018년 10월,"10,800"
혼자 공부하는 첫 프로그래밍 with 파이썬 ,문현일,한빛미디어,2020년 06월,"15,300"
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,2019년 05월,"26,100"
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,"22,500"
모두의 딥러닝,조태호,길벗,2020년 01월,"21,600"
파이썬을 이용한 비트코인 자동매매,조대표,파이스탁,2021년 03월,"24,300"
파이썬 머신러닝 판다스 데이터 분석,오승환,정보문화사,2019년 06월,"22,500"
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카,길벗,2021년 03월,"39,600"
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,2020년 11월,"34,200"
Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,2021년 01월,"16,200"
파이썬 코딩의 기술(개정2판),브렛 슬라킨,길벗,2020년 10월,"28,800"
실전 시계열 분석,에일린 닐슨,한빛미디어,2021년 04월,"34,200"
파이썬 코딩 도장,남재윤,길벗,2018년 11월,"22,500"
모두의 인공지능 with 파이썬,이영호,길벗,2020년 12월,"19,800"
Do it! 딥러닝 입문,박해선,이지스퍼블리싱,2019년 09월,"17,820"
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,2021년 10월,"25,200"
데이터 과학을 위한 통계,피터 브루스,한빛미디어,2021년 05월,"30,600"
Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용,이지스퍼블리싱,2021년 01월,"28,800"
6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현,생능출판사,2020년 12월,"25,200"
선형대수와 통계학으로 배우는 머신러닝 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 01월,"33,750"
파이썬 for Beginner,우재남,한빛아카데미,2022년 01월,"25,000"
모두의 라즈베리 파이 with 파이썬,이시이 모루나,길벗,2019년 01월,"23,400"
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,2019년 05월,"31,500"
파워 유저를 위한 파이썬 EXPRESS,천인국,생능출판사,2020년 11월,"30,000"
따라하며 배우는 파이썬과 데이터 과학,천인국,생능출판사,2020년 12월,"26,000"
시간순삭 파이썬,천인국,생능북스,2020년 08월,"19,800"
Let’s Get IT 파이썬 프로그래밍,안지혜,길벗,2021년 07월,"19,800"
머신러닝 디자인 패턴,발리아파 락슈마난,한빛미디어,2021년 11월,"34,200"
케라스 창시자에게 배우는 딥러닝,프랑소와 숄레,길벗,2018년 10월,"29,700"
모두의 딥러닝,조태호,길벗,2022년 03월,"21,600"
생활코딩 머신러닝 실습편 with 오렌지 3,이고잉,위키북스,2021년 07월,"13,500"
파이썬으로 살펴보는 아키텍처 패턴,해리 퍼시벌,한빛미디어,2021년 06월,"28,800"
파이썬 for Beginner,우재남,한빛아카데미,2020년 01월,"23,000"
파이썬으로 만드는 인공지능,오일석,한빛아카데미,2021년 01월,"31,000"
fastai와 파이토치가 만나 꽃피운 딥러닝,제러미 하워드,한빛미디어,2021년 08월,"39,600"
데이터 과학 기반의 파이썬 빅데이터 분석,이지영,한빛아카데미,2020년 12월,"28,000"
한 줄씩 따라 해보는 파이토치 딥러닝 프로젝트 모음집,이경택,비제이퍼블릭(BJ퍼블릭),2021년 07월,"26,100"
미국 주식으로 시작하는 슬기로운 퀀트투자,김용환,한빛미디어,2021년 09월,"28,800"
바이오파이썬으로 만나는 생물정보학,한주현,비제이퍼블릭(BJ퍼블릭),2019년 03월,"23,400"
이것이 데이터 분석이다 with 파이썬,윤기태,한빛미디어,2020년 02월,"25,200"
퀀트 투자를 위한 머신러닝·딥러닝 알고리듬 트레이딩 2/e,스테판 젠슨,에이콘출판사,2021년 09월,"45,000"
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2022년 04월,"36,000"
만들면서 배우는 파이토치 딥러닝,오가와 유타로,한빛미디어,2021년 08월,"36,000"
똑똑한 파이썬,황재호,인포앤북,2021년 06월,"16,200"
Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,2018년 10월,"15,300"
파이토치로 배우는 자연어 처리,델립 라오,한빛미디어,2021년 06월,"23,400"
Do it! 점프 투 장고,박응용,이지스퍼블리싱,2021년 01월,"17,820"
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러,한빛미디어,2019년 03월,"28,800"
Must Have 머신러닝·딥러닝 문제해결 전략,신백균,골든래빗,2022년 04월,"34,200"
파이썬으로 배우는 컴퓨팅 사고,김완섭,인피니티북스,2020년 02월,"17,000"
파이썬 생활밀착형 프로젝트,김효실,로드북,2021년 06월,"22,500"
파이썬으로 배우는 게임 개발 입문편,히로세 츠요시,제이펍,2020년 10월,"25,200"
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러,한빛미디어,2022년 02월,"29,700"
C#과 파이썬을 활용한 OpenCV 4 프로그래밍,윤대희,위키북스,2021년 04월,"32,400"
게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,2019년 03월,"15,300"
일 잘하는 직장인을 위한 엑셀 자동화 with 파이썬,최은석,위키북스,2020년 11월,"27,000"
Do it! 딥러닝 교과서,윤성진,이지스퍼블리싱,2021년 10월,"25,200"
인공지능,천인국,인피니티북스,2020년 02월,"30,000"
데이터 과학을 위한 파이썬 프로그래밍,최성철,한빛아카데미,2019년 01월,"25,000"
모두의 알고리즘 with 파이썬,이승찬,길벗,2017년 05월,"14,400"
으뜸 파이썬,박동규,생능출판사,2020년 02월,"32,000"
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),이경택,정보문화사,2020년 10월,"22,500"
파이썬 해킹 레시피,공재웅,비제이퍼블릭(BJ퍼블릭),2021년 06월,"23,400"
난생처음 파이썬 프로그래밍,우재남,한빛아카데미,2021년 06월,"24,000"
파이썬 클린 코드 ,마리아노 아나야,터닝포인트,2019년 02월,"25,200"
윤성우의 열혈 파이썬 기초편,윤성우,오렌지미디어,2018년 11월,"14,400"
난생처음 컴퓨팅 사고 with 파이썬,김명호,한빛아카데미,2021년 01월,"23,000"
딥러닝 텐서플로 교과서,서지영,길벗,2021년 04월,"25,200"
파이썬 딥러닝 텐서플로,오승환,정보문화사,2021년 06월,"24,300"
고성능 파이썬,미샤 고렐릭,한빛미디어,2021년 05월,"32,400"
암호화폐 자동매매 시스템 만들기 with 파이썬,정성문,로드북,2022년 03월,"31,500"
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철,앤써북,2022년 03월,"19,800"
처음 배우는 딥러닝 챗봇,조경래,한빛미디어,2020년 11월,"23,400"
윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,2019년 10월,"14,400"
파이썬으로 쉽게 풀어쓴 자료구조,최영규,생능출판사,2020년 02월,"27,000"
OpenCV-Python으로 배우는 영상처리 및 응용,정성환,생능출판사,2020년 11월,"35,000"
전문가를 위한 파이썬 ,루시아누 하말류,한빛미디어,2016년 08월,"49,500"
파이썬 웹 프로그래밍,김석훈,한빛미디어,2018년 08월,"19,800"
파이썬 무작정 따라하기,서승희,길벗,2021년 12월,"14,400"
Do it! 점프 투 플라스크,박응용,이지스퍼블리싱,2020년 11월,"17,820"
머신러닝 파워드 애플리케이션,에마뉘엘 아메장,한빛미디어,2021년 09월,"24,300"
쉬운 딥러닝,반병현,생능북스,2021년 04월,"18,000"
처음 만나는 AI 수학 with Python,아즈마 유키나가,영진닷컴,2021년 01월,"20,700"
처음 시작하는 파이썬,빌 루바노빅,한빛미디어,2020년 08월,"32,400"
한국어 임베딩,이기창,에이콘출판사,2019년 09월,"31,500"
생활코딩 머신러닝 이론편 ,이고잉,위키북스,2021년 07월,"11,700"
데이터 과학을 위한 기초수학 with 파이썬,이병준,한빛아카데미,2021년 01월,"24,700"
파이썬을 이용한 데이터 분석의 정석,채진석,루비페이퍼,2021년 06월,"28,800"
파이썬 한권으로 끝내기,데싸라면,시대고시기획 시대교육,2022년 06월,"24,300"
"데이터가 뛰어노는 AI 놀이터, 캐글",가도와키 다이스케,한빛미디어,2021년 05월,"31,500"
미술관에 GAN 딥러닝 실전 프로젝트,데이비드 포스터,한빛미디어,2019년 11월,"28,800"
살아 움직이는 머신러닝 파이프라인 설계,하네스 하프케,한빛미디어,2021년 10월,"28,800"
엑셀이 편해지는 파이썬,펠릭스 춤슈타인,한빛미디어,2022년 04월,"25,200"
파이썬 딥러닝 머신러닝 입문,오승환,정보문화사,2021년 01월,"22,500"
코드업과 함께 하는 파이썬&문제 해결,배준호,삼양미디어,2020년 11월,"14,400"
"파이썬 웹 프로그래밍, 실전편 ",김석훈,한빛미디어,2019년 11월,"28,800"
파이썬으로 만드는 OpenCV 프로젝트,이세우,인사이트(insight),2019년 03월,"32,400"
어서와 파이썬은 처음이지!,천인국,인피니티북스,2016년 08월,"29,000"
파이썬 GUI 프로그래밍 쿡북 3/e,부르크하르트 메이어,에이콘출판사,2021년 09월,"31,500"
파이토치 첫걸음,최건호,한빛미디어,2019년 06월,"20,700"
파이썬 텍스트 마이닝 완벽 가이드,박상언,위키북스,2022년 02월,"25,200"
모두의 파이썬&알고리즘 합본호,이승찬,길벗,2018년 12월,"23,400"
동시성 프로그래밍,다카노 유키,한빛미디어,2022년 04월,"30,600"
파이썬 데이터 분석 실무 테크닉 100,시모야마 테루마사,위키북스,2020년 07월,"23,400"
GAN 첫걸음,타리크 라시드,한빛미디어,2021년 03월,"22,500"
머신러닝 시스템 디자인 패턴,시부이 유우스케,위키북스,2021년 11월,"28,800"
파이썬으로 하는 데브옵스 ,노아 기프트,에이콘출판사,2021년 06월,"36,000"
Python으로 시작하는 빅데이터분석 및 인공지능,조준모,인피니티북스,2021년 02월,"26,000"
컴퓨팅 기반 문제해결 with 파이썬,장은실,인피니티북스,2022년 01월,"20,000"
파이썬 입문,황재호,인포앤북,2020년 06월,"22,500"
"파이썬 기반의 AI를 위한 기초수학, 확률 및 통계",강봉주,자유아카데미,2020년 03월,"32,000"
딥러닝 EXPRESS,천인국,생능출판사,2021년 07월,"28,000"
파이썬을 이용한 딥러닝/강화학습 주식투자,퀀티랩,위키북스,2022년 03월,"27,000"
파이썬으로 배우는 알고리즘 트레이딩,조대표,위키북스,2019년 03월,"36,000"
알고리즘 구현으로 배우는 선형대수 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 12월,"30,600"
딥러닝을 위한 파이토치 입문,딥러닝호형,영진닷컴,2022년 01월,"22,500"
파이썬으로 배우는 포트폴리오,곽승주,길벗,2021년 03월,"23,400"
퀀트 전략을 위한 인공지능 트레이딩,김태헌,한빛미디어,2020년 08월,"25,200"
파이썬으로 데이터 주무르기,민형기,비제이퍼블릭(BJ퍼블릭),2017년 12월,"24,750"
으뜸 머신러닝,강영민,생능출판사,2021년 07월,"29,000"
텔로에듀 TT 드론코딩 AtoZ,김형준,구미서관,2022년 01월,"23,000"
김기현의 자연어 처리 딥러닝 캠프 파이토치 편,김기현,한빛미디어,2019년 07월,"34,200"
파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자,퀀티랩,위키북스,2020년 04월,"25,200"
초소형 머신러닝 TinyML,피트 워든,한빛미디어,2020년 08월,"36,000"
파이썬 자료구조와 알고리즘 for Beginner,우재남,한빛아카데미,2021년 01월,"27,000"
파이썬과 케라스로 배우는 강화학습,이웅원,위키북스,2020년 04월,"25,200"
코딩과 스토리텔링,백성욱,생능출판사,2021년 03월,"25,000"
텐서플로 2와 머신러닝으로 시작하는 자연어 처리,전창욱,위키북스,2020년 09월,"31,500"
직장인을 위한 데이터 분석 실무 with 파이썬 (개정판),이형석,위키북스,2020년 11월,"25,200"
초보자를 위한 파이썬 200제,장삼용,정보문화사,2017년 02월,"18,000"
당신의 칼퇴를 도와주는 UiPath 업무 자동화,김수환,비제이퍼블릭(BJ퍼블릭),2021년 07월,"25,200"
파이썬 스킬 업,브라이언 오버랜드,길벗,2021년 05월,"36,000"
실전 알고리즘 트레이딩 배우기 ,세바스티앙 도나디오,에이콘출판사,2021년 02월,"31,500"
파이썬과 함께하는 자료구조의 이해,양성봉,생능출판사,2018년 01월,"25,000"
손에 잡히는 퀀트 투자 with 파이썬,GIL's LAB,위키북스,2022년 02월,"28,800"
파이썬을 이용한 인터랙티브 대시보드 만들기,홍성준,BOOKK(부크크),2021년 06월,"32,800"
파이썬으로 무인도 탈출하기,박정호,생능출판사,2019년 08월,"12,600"
학교에서 알려주지 않는 17가지 실무 개발 기술,이기곤,한빛미디어,2020년 04월,"18,000"
한 권으로 끝내는 파이썬 인공지능 입문+실전 [종합편],서민우,앤써북,2021년 09월,"20,700"
Do it! 점프 투 파이썬 라이브러리 예제 편,박응용,이지스퍼블리싱,2022년 05월,"23,400"
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,알베르토 아르타산체스,한빛미디어,2021년 10월,"36,000"
엑셀과 비교하며 배우는 파이썬 데이터 분석,장쥔홍,제이펍,2021년 06월,"21,600"
파이썬 ,우재남,한빛아카데미,2016년 07월,"22,000"
파이썬 데이터 사이언스 핸드북,제이크 밴더플래스,위키북스,2017년 09월,"34,200"
파이썬을 이용한 알고리즘 트레이딩,이브스 힐피쉬,제이펍,2021년 07월,"26,100"
비전 시스템을 위한 딥러닝,모하메드 엘겐디,한빛미디어,2021년 12월,"34,200"
파이썬 알고리즘,최영규,생능출판사,2021년 01월,"27,000"
파이썬으로 웹 크롤러 만들기,라이언 미첼,한빛미디어,2019년 03월,"22,500"
머신 러닝·딥 러닝에 필요한 기초 수학 with 파이썬,조준우,인사이트(insight),2020년 11월,"24,300"
Introduction to 파이썬,황재호,인포앤북,2021년 03월,"22,500"
컴퓨팅 사고와 함께하는 파이썬 기초부터 인공지능 응용까지,김성백,연두에디션,2019년 12월,"24,000"
자기주도 파이썬,한컴에듀케이션 알고리즘연구소,복두출판사,2021년 07월,"16,000"
파이썬으로 배우는 게임 개발 실전편,히로세 츠요시,제이펍,2020년 11월,"27,000"
XGBoost와 사이킷런을 활용한 그레이디언트 부스팅 ,코리 웨이드,한빛미디어,2022년 04월,"30,600"
파이썬으로 만드는 나만의 게임,이수안,비제이퍼블릭(BJ퍼블릭),2022년 01월,"22,500"
파이썬 챌린지,니콜라 레이시,제이펍,2021년 05월,"10,080"
실무에 바로 적용하는 파이썬 코드 레시피 302,구로즈미 다카유키,제이펍,2022년 04월,"28,800"
파이썬과 리액트를 활용한 주식 자동거래 시스템 구축,박재현,위키북스,2020년 02월,"25,200"
Two Scoops of Django,대니얼 로이 그린펠드,인사이트(insight),2016년 08월,"28,800"
텐서플로 2와 머신러닝으로 시작하는 자연어 처리,전창욱,위키북스,2022년 03월,"32,400"
파이썬 비동기 라이브러리 Asyncio,케일럽 해팅,한빛미디어,2021년 05월,"16,200"
쉽게 시작하는 캐글 데이터 분석,시노다 히로유키,길벗,2021년 09월,"19,800"
파이썬으로 배우는 디지털 신호처리,하석운,생능출판사,2020년 06월,"26,000"
깔끔한 파이썬 탄탄한 백엔드,송은우,비제이퍼블릭(BJ퍼블릭),2019년 01월,"24,300"
파이썬 데이터 과학 통계 학습,황보현우,정보문화사,2021년 05월,"26,100"
라즈베리파이4로 구현하는 사물인터넷(IoT)과 인공지능(AI),김경연,광문각,2021년 02월,"26,000"
그림으로 배우는 파이썬,다카하시 마나,영진닷컴,2021년 11월,"16,200"
Do it! 강화 학습 입문,조규남,이지스퍼블리싱,2021년 06월,"19,800"
딥러닝 머신러닝을 위한 파이썬 넘파이,문용준,잇플ITPLE,2020년 06월,"31,500"
케라스로 구현하는 딥러닝,김성진,한빛미디어,2022년 04월,"27,000"
Python으로 배우는 문제해결과 인공지능,김현정,인피니티북스,2021년 02월,"23,000"
아두이노로 코딩하며 배우는 딥러닝,서민우,앤써북,2021년 06월,"18,720"
잡아라! 텍스트 마이닝 with 파이썬,서대호,비제이퍼블릭(BJ퍼블릭),2019년 04월,"15,300"
파이썬을 이용한 웹 크롤링과 스크레이핑,카토 코타,위키북스,2018년 03월,"27,000"
파이썬 매일 코딩,루벤 M. 러너,길벗,2021년 11월,"19,800"
파이썬을 활용한 나만의 RPA 만들기 (2021),안정국,삼일인포마인,2021년 01월,"25,000"
데이터 분석을 위한 파이썬 철저 입문,최은석,위키북스,2019년 04월,"25,200"
머신러닝을 활용한 웹 최적화,이쓰카 슈헤이,한빛미디어,2021년 06월,"30,600"
컴퓨팅 사고와 소프트웨어 with 파이썬,성태응,인피니티북스,2022년 03월,"25,000"
웹 크롤링 & 데이터 분석 with 파이썬,장철원,인사이트(insight),2022년 01월,"18,000"
프로그래머를 위한 강화학습,멀티코어,프리렉,2021년 03월,"22,500"
파이썬으로 배우는 통계학 교과서,바바 신야,한빛미디어,2019년 11월,"27,000"
데이터 시각화 with 파이썬,설진욱,아이콕스(iCox),2021년 03월,"26,600"
프로그래밍의 정석 : 파이썬,도경구,생능출판사,2020년 12월,"25,200"
핸즈온 비지도 학습,안쿠르 A. 파텔,한빛미디어,2020년 07월,"30,600"
인공지능 100점을 위한 파이썬 수학,임성국,비제이퍼블릭(BJ퍼블릭),2020년 04월,"21,600"
처음 배우는 플라스크 웹 프로그래밍,윤정현,한빛미디어,2021년 08월,"17,820"
모두의 데이터 과학 with 파이썬,드미트리 지노비에프,길벗,2017년 07월,"19,800"
최적합 전문코딩능력평가 COS PRO 2급 Python,장대경,성안당,2019년 04월,"19,800"
파이썬 머신러닝 실무 테크닉 100,시모야마 데루마사,제이펍,2021년 12월,"22,500"
"핵심 딥러닝 입문: RNN, LSTM, GRU, VAE, GAN 구현",아즈마 유키나가,책만,2020년 12월,"25,200"
엑셀 x 파이썬 업무 자동화,카네히로 카즈미,인사이트(insight),2020년 12월,"16,200"
파이썬을 활용한 금융 분석 ,이브 힐피시,한빛미디어,2022년 03월,"40,500"
창의적 문제 해결을 위한 파이썬 프로그래밍,김진일,연두에디션,2020년 02월,"23,000"
금융 파이썬 쿡북,에릭 르윈슨,에이콘출판사,2021년 02월,"31,500"
마이크로비트로 배우는 파이썬,서민우,앤써북,2020년 02월,"16,920"
마인크래프트와 함께 즐겁게 파이썬,최일선,비제이퍼블릭(BJ퍼블릭),2018년 11월,"23,400"
알짜배기 예제로 배우는 OpenCV,이정주,비제이퍼블릭(BJ퍼블릭),2020년 04월,"28,800"
핵심만 쏙쏙 파이썬,양숙희,연두에디션,2020년 02월,"19,000"
텐서플로 2와 케라스로 구현하는 딥러닝 2/e,안토니오 걸리,에이콘출판사,2020년 04월,"38,700"
21개의 작고 재미난 파이썬 프로젝트,켄 유엔스-클락,제이펍,2021년 08월,"27,000"
나는 파이선으로 피지컬 컴퓨팅한다,김경규,씨마스,2019년 12월,"16,200"
파이썬으로 배우는 누구나 코딩,강환수,홍릉과학출판사,2019년 08월,"25,000"
파이썬 날코딩으로 알고 짜는 딥러닝,윤덕호,한빛미디어,2019년 07월,"40,500"
카카오 아레나 데이터 경진대회 1등 노하우,최규민,위키북스,2021년 01월,"24,300"
파이썬 디자인 패턴 2/e,체탄 기리다,에이콘출판사,2018년 11월,"13,500"
금융 데이터 분석을 위한 파이썬 판다스,유대표,파이스탁,2022년 03월,"27,000"
나의 첫 머신러닝/딥러닝,허민석,위키북스,2020년 07월,"23,400"
보통의 취준생을 위한 코딩 테스트 with 파이썬,권국원,로드북,2022년 02월,"27,000"
구글 브레인팀에게 배우는 딥러닝 with TensorFlow.js,프랑소와 숄레,길벗,2022년 03월,"39,600"
GAN 인 액션,야쿠프 란그르,한빛미디어,2020년 09월,"27,000"
파이썬으로 배우는 자연어 처리 인 액션,홉슨 레인,제이펍,2020년 03월,"31,500"
프로그래머가 알아야 할 알고리즘 40,임란 아마드,길벗,2022년 04월,"21,600"
쉽게 배우는 자료구조 with 파이썬,문병로,한빛아카데미,2022년 01월,"29,000"
컴퓨팅 사고를 위한 파이썬,한선관,생능출판사,2019년 02월,"27,550"
구글과 파이썬으로 시작하는 보안,김용재,비제이퍼블릭(BJ퍼블릭),2021년 08월,"29,700"
파이썬 자료구조와 알고리즘,미아 스타인,한빛미디어,2019년 06월,"19,800"
마인크래프트로 배우는 파이썬 프로그래밍,크레이그 리처드슨,제이펍,2016년 08월,"22,500"
뚝딱뚝딱 파이썬 자동화,알 스웨이가트,인사이트(insight),2021년 07월,"29,700"
실무 예제로 배우는 데이터 공학,폴 크리커드,제이펍,2021년 07월,"24,300"
파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,2018년 06월,"25,200"
금융 전략을 위한 머신러닝,하리옴 탓샛,한빛미디어,2021년 12월,"31,500"
코딩 테스트로 시작하는 파이썬 프로그래밍,다니엘 진가로,영진닷컴,2022년 04월,"21,600"
"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문",쿠지라 히코우즈쿠에,위키북스,2019년 12월,"27,000"
"실체가 손에 잡히는 딥러닝, 기초부터 실전 프로그래밍",아즈마 유키나가,책만,2019년 06월,"23,400"
머신러닝 실무 프로젝트,아리가 미치아키,한빛미디어,2022년 03월,"21,600"
Black Hat Python 2/e,저스틴 지이츠,에이콘출판사,2022년 04월,"25,200"
데이터 과학,조엘 그루스,인사이트(insight),2020년 03월,"29,700"
