수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,말라위,85,-,-,-,-,-25.5,44.7,0.0,-,중국(53),인도(17),독일(3),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-83.2,-,-,505,"1,147.5",-,-,40,33.6,-,-
141,시에라리온,780,9,-771,-,-,29.9,123.0,0.0,-,미국(703),독일(31),튀르키예(6),중국(5),네덜란드(0),벨기에(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780,27.7,9,-9.2,611,289.5,10,528.8,157,987.1,2,-79.0
142,기니,303,-,-,-,-,27.5,45.7,0.0,-,프랑스(85),중국(70),미국(11),네덜란드(10),인도(9),튀르키예(6),독일(3),벨기에(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,205.6,-,-,99,-30.6,0,-99.8,143,-82.4,65,-
143,니제르,77,-,-,-,-,11.8,31.6,0.0,-,중국(3),미국(2),네덜란드(1),스페인(0),인도(0),스웨덴(0),튀르키예(0),부르키나파소(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-81.3,-,-,411,824.7,2,-,44,-62.4,-,-
144,리비아,490,1,-490,-,-,37.7,-18.7,0.0,-,중국(103),스페인(66),일본(64),독일(47),캐나다(29),미국(15),튀르키예(7),네덜란드(4),스위스(3),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490,-11.4,1,-,554,-25.5,-,-,743,129.8,-,-
145,동티모르 민주공화국,56,-,-,-,-,13.4,33.6,0.0,-,중국(38),슬로베니아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,"4,263.7",-,-,1,-95.9,-,-,32,-53.4,-,-
146,트리니다드토바고,808,4,-804,-,-,24.2,43.9,0.0,-,미국(449),중국(114),덴마크(76),독일(62),노르웨이(14),캐나다(8),프랑스(7),영국(4),일본(2),스위스(0),체코(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,808,260.0,4,133.3,225,-42.4,2,-79.7,390,33.1,8,-60.1
147,몰디브,207,-,-,-,-,-25.2,46.8,0.0,-,싱가포르(43),중국(29),미국(24),영국(15),독일(15),노르웨이(5),인도(3),튀르키예(2),일본(2),오스트리아(2),캐나다(2),루마니아(1),스위스(1),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,207,-65.5,-,-,601,524.7,3,-,96,-91.5,-,-
148,보스니아 헤르체고비나,"2,006","18,885","16,878",1,0.1,13.9,49.6,0.0,-,중국(496),독일(305),이탈리아(129),스위스(26),슬로바키아(22),미국(21),프랑스(20),덴마크(19),슬로베니아(18),오스트리아(14),크로아티아(10),폴란드(10),체코(10),튀르키예(10),헝가리(8),루마니아(8),스웨덴(8),세르비아(7),일본(6),브라질(5),스페인(4),영국(4),말레이시아(3),네덜란드(3),벨기에(2),인도(2),-,홍콩(1),불가리아(1),멕시코(1),"2,006",80.5,"18,885",158.3,"1,112",24.0,"7,310",161.3,897,-18.5,"2,798",238.2
149,브루나이,695,65,-630,6,0.9,-13.5,-40.7,0.0,-,미국(390),싱가포르(59),일본(46),말레이시아(40),중국(38),독일(26),캐나다(20),영국(16),인도네시아(11),스위스(8),한국(6),멕시코(6),네덜란드(4),프랑스(2),인도(2),오스트리아(2),생바르텔레미(1),베트남(1),폴란드(1),에스토니아(1),태국(1),헝가리(0),홍콩(0),슬로바키아(0),루마니아(0),스페인(0),-,-,-,-,695,444.7,65,"10,216.9",128,-93.5,1,-99.8,"1,973",-45.8,252,-82.2
150,바하마,584,-,-,-,-,-14.9,15.7,0.0,-,미국(275),독일(222),중국(20),오스트리아(16),일본(8),덴마크(6),네덜란드(3),홍콩(2),캐나다(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584,3.0,-,-,567,30.1,1,109.6,436,104.8,1,31.1
151,키프로스,"1,186",191,-995,1,0.1,27.8,59.0,0.0,-,중국(624),튀르키예(112),독일(56),프랑스(44),인도(33),그리스(20),스웨덴(11),영국(6),스위스(5),오스트리아(4),덴마크(3),미국(3),체코(2),벨기에(2),폴란드(2),아랍에미리트(2),네덜란드(2),스페인(1),홍콩(1),한국(1),슬로베니아(0),일본(0),싱가포르(0),슬로바키아(0),인도네시아(0),-,-,-,-,-,"1,186",111.3,191,427.5,561,19.7,36,479.2,469,6.5,6,132.5
152,나미비아,688,182,-506,0,0.1,-1.4,25.3,0.0,-,남아프리카공화국(470),일본(27),독일(20),미국(15),홍콩(14),스페인(10),중국(8),네덜란드(8),덴마크(8),노르웨이(7),잠비아(5),기타국(4),태국(3),호주(3),폴란드(3),벨기에(2),스웨덴(2),체코(1),말레이시아(1),인도(1),한국(0),슬로바키아(0),영국(0),스위스(0),프랑스(0),인도네시아(0),브라질(0),헝가리(0),튀르키예(0),-,688,-20.7,182,156.8,868,98.2,71,172.4,438,-41.1,26,-63.3
153,모리타니아,324,8,-316,-,-,16.8,-6.2,0.0,-,중국(156),프랑스(76),튀르키예(6),독일(1),네덜란드(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324,148.6,8,"9,389.4",130,-64.6,0,-,368,395.9,-,-
154,토고,54,28,-26,-,-,-45.7,-30.6,0.0,-,프랑스(11),네덜란드(9),케냐(5),일본(4),체코(4),중국(3),독일(1),폴란드(0),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,114.3,28,-,25,-77.5,-,-,111,46.6,-,-
155,자메이카,996,-,-,-,-,15.5,70.4,0.0,-,중국(824),독일(17),미국(17),네덜란드(2),일본(2),스위스(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,996,350.1,-,-,221,-35.5,1,452.7,343,-28.4,0,-
156,베냉,24,-,-,-,-,-34.9,-75.9,0.0,-,프랑스(7),체코(5),스위스(3),튀르키예(2),아랍에미리트(1),벨기에(1),중국(1),가나(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,59.9,-,-,15,-96.4,17,"2,419.8",415,-88.6,1,-
157,보츠와나,106,1,-105,-,-,-17.6,-29.5,0.0,-,남아프리카공화국(87),독일(6),중국(5),영국(1),체코(1),스위스(0),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,-71.5,1,-,372,74.3,-,-,214,-51.8,14,716.2
158,남수단,140,-,-,-,-,72.7,34.1,0.0,-,중국(140),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,151.8,-,-,56,-28.6,-,-,78,-8.0,-,-
159,조지아,"1,111",255,-856,0,0.0,15.6,58.4,0.0,-,독일(210),튀르키예(157),이탈리아(80),아랍에미리트(68),중국(48),체코(30),스페인(10),영국(8),스웨덴(5),우크라이나(4),몰타(4),폴란드(4),벨기에(3),불가리아(2),카자흐스탄(2),스위스(1),프랑스(1),헝가리(1),네덜란드(1),싱가포르(0),러시아연방(0),이란(0),미국(0),오스트리아(0),루마니아(0),한국(0),슬로바키아(0),슬로베니아(0),-,-,"1,111",242.3,255,8.7,324,-26.7,234,288.6,443,15.4,60,-46.7
160,키르기스스탄,746,0,-746,-,-,17.8,248.0,0.0,-,미국(98),중국(55),홍콩(35),폴란드(32),튀르키예(27),세르비아(26),독일(25),영국(20),러시아연방(16),벨라루스(5),네덜란드(4),카자흐스탄(4),인도(1),스위스(1),프랑스(1),멕시코(1),일본(1),호주(0),스페인(0),-,-,-,-,-,-,-,-,-,-,-,746,374.6,0,-90.4,157,155.2,2,-67.8,62,-14.0,8,-60.3
161,아르메니아,613,39,-574,12,2.0,66.3,145.4,0.0,-,중국(179),독일(26),러시아연방(23),미국(21),한국(12),프랑스(9),이탈리아(5),일본(5),스위스(5),벨기에(5),인도(3),핀란드(3),덴마크(3),기타국(2),말레이시아(2),스페인(1),네덜란드(1),스웨덴(1),남아프리카공화국(1),튀르키예(1),슬로베니아(1),폴란드(1),모로코(1),조지아(0),북한(0),루마니아(0),헝가리(0),브라질(0),오스트리아(0),싱가포르(0),613,329.1,39,-20.5,143,40.4,49,306.6,102,3.1,12,187.1
162,퀴라소,78,4,-74,-,-,4.9,5.0,0.0,-,미국(21),네덜란드(12),독일(9),중국(2),캐나다(1),스위스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,51.1,4,-88.8,52,-27.0,37,"3,100.5",71,32.3,1,-
163,시리아,344,-,-,-,-,-12.9,9.5,0.0,-,중국(341),독일(1),튀르키예(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,344,98.5,-,-,173,-39.6,-,-,287,8.6,-,-
164,지브롤터,157,5,-152,-,-,38.9,42.2,0.0,-,스페인(71),영국(7),스웨덴(1),네덜란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,230.3,5,-,47,-38.8,-,-,77,111.8,-,-
165,몬테네그로,444,"1,257",812,-,-,31.9,58.4,0.0,-,중국(80),벨기에(70),독일(62),튀르키예(22),미국(8),스페인(6),스위스(4),일본(3),폴란드(2),포르투갈(2),세르비아(2),영국(1),프랑스(1),스웨덴(1),체코(1),태국(1),슬로베니아(1),러시아연방(1),멕시코(0),인도(0),슬로바키아(0),튀니지(0),싱가포르(0),말레이시아(0),오스트리아(0),헝가리(0),남아프리카공화국(0),-,-,-,444,129.2,"1,257",-62.5,194,9.5,"3,351",52.9,177,7.1,"2,191","509,363.5"
166,바누아투,319,-,-,-,-,139.9,3.2,0.0,-,중국(318),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,300.7,-,-,80,-73.4,-,-,300,"6,356.6",-,-
167,카이만제도,62,-,-,-,-,70.0,-69.8,0.0,-,미국(53),독일(4),스위스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-46.0,-,-,114,-83.2,1,-70.8,677,"6,475.0",2,-
168,그레나다,50,-,-,-,-,10.0,83.0,0.0,-,미국(27),영국(4),퀴라소(4),기타국(3),프랑스(2),브라질(1),중국(1),트리니다드토바고(1),일본(0),캐나다(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-4.8,-,-,52,251.7,-,-,15,-58.7,0,137.8
169,수리남,94,98,3,-,-,5.3,-5.9,0.0,-,네덜란드(54),중국(22),미국(5),폴란드(2),퀴라소(2),독일(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,36.4,98,-,69,-35.1,-,-,107,45.7,4,54.4
170,폴리네시아(프),557,29,-528,4,0.8,19.8,11.4,0.0,-,중국(101),프랑스(93),미국(87),이탈리아(66),독일(19),일본(16),호주(7),한국(4),스위스(4),네덜란드(4),불가리아(3),뉴질랜드(3),튀니지(3),멕시코(2),슬로바키아(2),헝가리(2),태국(2),싱가포르(1),스웨덴(1),벨기에(1),아르헨티나(1),폴란드(1),인도(1),말레이시아(1),스페인(1),이스라엘(1),슬로베니아(0),세르비아(0),인도네시아(0),오스트리아(0),557,296.6,29,173.9,141,-68.7,11,-45.1,449,65.4,19,-61.7
171,괌,10,-,-,-,-,-2.7,27.9,0.0,-,싱가포르(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,6,-74.3,2,-
172,솔로몬,5,-,-,-,-,-31.3,-76.2,0.0,-,중국(4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-96.7,-,-,162,70.3,-,-,95,5.4,2,-88.7
173,뉴캘러도니아,354,30,-324,-,-,17.7,69.3,0.0,-,프랑스(97),미국(79),독일(13),중국(8),스페인(3),싱가포르(2),일본(2),영국(2),오스트리아(1),네덜란드(1),스위스(1),벨기에(0),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354,90.2,30,-,186,50.7,-,-,124,16.9,5,-
174,산마리노,121,60,-61,-,-,26.6,1.1,0.0,-,중국(56),독일(28),덴마크(3),벨기에(1),폴란드(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,-57.6,60,329.1,285,141.1,14,-88.1,118,54.4,118,190.8
175,타지키스탄,281,-,-,-,-,62.0,111.5,0.0,-,중국(240),체코(19),튀르키예(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281,132.9,-,-,121,92.1,-,-,63,-24.2,1,50.7
176,안도라,481,20,-461,-,-,70.0,290.4,0.0,-,중국(244),스페인(96),스위스(2),프랑스(2),스웨덴(1),독일(1),오스트리아(1),벨기에(1),헝가리(0),이탈리아(0),네덜란드(0),말레이시아(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,481,114.5,20,-,224,610.2,-,-,32,6.2,-,-
177,적도기니,28,-,-,-,-,0.4,32.3,0.0,-,미국(10),스페인(9),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,402.0,-,-,6,-65.1,-,-,16,-81.9,-,-
178,"버진아일랜드,영",12,-,-,-,-,-58.0,86.8,0.0,-,미국(10),노르웨이(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-55.7,-,-,28,688.0,-,-,4,"26,969.2",-,-
179,알바니아,320,37,-284,-,-,25.3,58.3,0.0,-,네덜란드(19),독일(15),중국(13),캐나다(13),몬테네그로(9),오스트리아(6),세르비아(6),스위스(5),헝가리(4),튀르키예(2),벨기에(2),홍콩(2),슬로베니아(1),체코(0),프랑스(0),폴란드(0),슬로바키아(0),노르웨이(0),-,-,-,-,-,-,-,-,-,-,-,-,320,38.6,37,"2,396.1",231,80.8,1,-10.4,128,-30.4,2,-58.4
180,버뮤다,49,14,-35,-,-,-10.3,16.3,0.0,-,스위스(17),노르웨이(9),미국(6),핀란드(3),캐나다(2),독일(2),영국(1),일본(1),중국(1),체코(1),태국(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-39.4,14,-67.0,81,123.2,43,-,36,-10.9,-,-
181,벨리즈,54,18,-36,-,-,-15.6,-6.8,0.0,-,미국(41),독일(4),중국(4),과테말라(3),스위스(1),아랍에미리트(0),홍콩(0),파나마(0),체코(0),캐나다(0),남아프리카공화국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,23.8,18,-,44,-29.9,-,-,63,10.7,-,-
182,페로 제도,52,4,-48,-,-,46.4,34.8,0.0,-,노르웨이(45),덴마크(2),독일(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-43.0,4,-78.1,90,219.0,18,"5,423.7",28,-28.2,0,339.2
183,마샬 제도,41,-,-,-,-,1.4,-19.7,0.0,-,미국(27),중국(5),일본(4),네덜란드(2),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,31.9,-,-,31,-51.1,-,-,63,980.3,0,-
184,에리트레아,12,1,-11,-,-,-37.2,-74.8,0.0,-,네덜란드(4),중국(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-2.2,1,-,12,-93.5,-,-,190,688.7,-,-
185,터크스케이커스제도,333,-,-,-,-,38.1,145.5,0.0,-,미국(331),중국(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,333,273.1,-,-,89,61.5,-,-,55,727.5,-,-
186,신트마르턴(네),32,2,-30,-,-,-39.2,76.2,0.0,-,미국(32),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,997.0,2,-,3,-71.7,-,-,10,-52.6,-,-
187,세인트빈센트,14,-,-,-,-,-2.9,39.4,0.0,-,독일(6),중국(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-76.4,-,-,59,723.1,0,-,7,-87.4,-,-
188,바베이도스,328,0,-328,1,0.2,1.0,9.1,0.0,-,중국(174),미국(95),콜롬비아(14),독일(13),이탈리아(7),프랑스(4),트리니다드토바고(3),영국(3),스위스(2),멕시코(1),자메이카(1),홍콩(1),일본(1),한국(1),이스라엘(0),세인트루시아(0),에스토니아(0),아일랜드(0),-,-,-,-,-,-,-,-,-,-,-,-,328,219.2,0,-,103,-62.7,-,-,275,4.9,-,-
189,감비아,8,-,-,-,-,-33.3,-61.6,0.0,-,중국(2),튀르키예(2),인도(1),독일(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-82.3,-,-,43,-17.0,-,-,52,-62.8,-,-
190,카보베르데,7,0,-7,-,-,-21.1,-56.9,0.0,-,중국(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-18.4,0,-,9,-77.2,-,-,39,139.9,5,"5,131.3"
191,아루바,71,-,-,-,-,13.4,26.9,0.0,-,미국(42),독일(13),중국(3),인도(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,-46.7,-,-,133,201.8,-,-,44,1.3,0,-
192,세인트키츠앤네비스,53,0,-52,-,-,43.1,197.0,0.0,-,중국(38),미국(7),네덜란드(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,58.0,0,-,33,458.4,-,-,6,-44.3,-,-
193,도미니카,4,-,-,-,-,-33.9,-75.1,0.0,-,미국(3),오스트리아(0),중국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-94.2,-,-,62,6.8,-,-,58,-50.9,-,-
194,세인트루시아,13,-,-,-,-,-46.6,31.6,0.0,-,미국(7),독일(2),중국(2),튀르키예(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-49.4,-,-,25,241.9,-,-,7,-85.0,0,-99.2
195,팔레스타인,48,-,-,-,-,-42.2,-73.7,0.0,-,독일(21),중국(2),체코(1),스위스(1),튀르키예(0),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,119.8,-,-,22,-96.9,-,-,691,61.2,4,-57.1
196,코모로,11,-,-,-,-,37.4,-15.7,0.0,-,독일(5),중국(2),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,"2,444.9",-,-,0,-97.2,-,-,16,868.1,-,-
197,에스와티니,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,101.2,6,-86.7,11,-97.9,47,1.2,510,"2,415.9"
198,대만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"224,261",28.6,"258,083",38.6,"174,330",-7.0,"186,188",-4.7
199,앤티가바부다,13,10,-3,-,-,-24.4,97.8,0.0,-,미국(12),중국(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-40.1,10,-,22,552.7,-,-,3,-95.4,-,-
200,콩고,31,-,-,-,-,-9.6,-44.3,0.0,-,중국(10),독일(4),네덜란드(3),프랑스(2),벨기에(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-20.3,-,-,39,-61.1,6,-85.8,99,-33.4,45,-30.1
201,그린란드,77,30,-47,-,-,33.8,6.3,0.0,-,덴마크(34),네덜란드(3),캐나다(1),노르웨이(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,371.7,30,"37,320.3",16,-76.1,0,-,68,158.8,-,-
202,상투메 프린시페,77,-,-,-,-,34.9,140.1,0.0,-,포르투갈(38),중국(8),앙골라(1),적도기니(0),-,독일(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,267.8,-,-,21,56.8,0,427.9,13,47.7,0,-64.2
203,마크로네시아,0,-,-,-,-,-48.6,-,0.0,-,중국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-83.4,-,-,3,-,-,-,-,-,-,-
204,키리바시,3,-,-,-,-,-5.9,7.8,0.0,-,중국(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-29.8,-,-,4,65.6,-,-,3,-72.6,-,-
205,통가,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
206,미국령사모아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-
207,북마리아나제도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
208,보네르 섬,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,8,"2,081.9",-,-,0,-88.0,-,-
209,팔라우,10,-,-,-,-,-34.6,-27.1,0.0,-,일본(10),중국(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,769.3,-,-,1,-93.9,-,-,19,-39.6,-,-
210,"월리스,후투나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
211,쿡제도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-94.5
212,앙귈라,8,0,-8,-,-,-33.3,-,0.0,-,미국(6),오스트리아(1),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,0,-,-,-,-,-,-,-,-,-
213,포클랜드 제도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,32.5
214,생피에르미클롱,1,-,-,-,-,-,63.8,0.0,-,캐나다(1),프랑스(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,"4,062.1",-,-,0,-93.6,-,-,0,-97.7,-,-
215,남극,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
216,영국령 인도양 지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
217,보빗 군도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,허드맥도날드제도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
219,성 샌드위치섬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220,바티칸시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
221,세인트헬레나,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-
222,니우에섬,13,2,-11,-,-,-,-,0.0,-,미국(13),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,2,-,-,-,-,-,-,-,-,-
223,노퍽섬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
224,몬세라트,1,2,1,-,-,-,-71.4,0.0,-,미국(0),퀴라소(0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,174.6,-,-,1,244.2,8,750.6,0,-95.9
225,토클로 제도,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
226,서사하라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
227,핏케언섬,5,-,-,-,-,-,-,0.0,-,싱가포르(3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
228,크리스마스 섬,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-
229,코코넛섬,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
230,투발루,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-
231,나우루,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
